Customer_ID,Product_ID,Transaction_ID,Age,Gender,Income_Bracket,Location,Engagement_Score,Discount_Sensitivity,Purchase_Date,Order_Value,Payment_Method,Repeat_Purchase_Score,Return_Rate,Session_ID,Time_Spent_Per_Product,Purchase_Probability_Score
CUST1001,PROD2601,TXN645944,23.0,Male,Low Income,Bali,0.48,0.25,2021-08-06 09:57:07,1507956.74,Cash,0.41,0.03,SESSION416779,157.64,0.58
CUST1001,PROD4037,TXN250056,23.0,Male,Low Income,Bali,0.31,0.55,2020-05-05 11:40:18,1081582.4,E-Wallet,0.16,0.2,SESSION899312,146.97,0.09
CUST1001,PROD2692,TXN993426,23.0,Male,Low Income,Bali,1.0,0.58,2022-01-29 16:40:26,2439574.65,Credit Card,0.15,0.3,SESSION946744,284.64,0.23
CUST1002,PROD2504,TXN619556,59.0,Other,High Income,Surabaya,0.11,0.73,2020-05-08 17:13:26,154000.53,E-Wallet,0.82,0.07,SESSION748067,65.03,0.07
CUST1003,PROD3598,TXN941863,41.0,Male,High Income,Jakarta,0.91,0.84,2020-07-11 16:34:50,1846396.78,Cash,0.56,0.33,SESSION582839,139.87,0.07
CUST1004,PROD4247,TXN296189,34.0,Male,Low Income,Surabaya,1.0,0.87,2022-07-10 09:01:02,2590155.31,E-Wallet,0.86,0.2,SESSION891950,234.27,0.17
CUST1004,PROD3515,TXN560526,34.0,Male,Low Income,Surabaya,0.52,0.35,2022-07-28 18:37:09,1019052.59,Credit Card,0.98,0.06,SESSION107029,136.52,0.94
CUST1007,PROD4687,TXN286040,26.0,Female,Middle Income,Bandung,0.63,0.73,2023-04-12 06:36:59,252720.43,Cash,0.68,0.34,SESSION573954,6.67,0.85
CUST1007,PROD1071,TXN985265,26.0,Female,Middle Income,Bandung,0.7,0.43,2024-02-15 03:25:42,2174970.9,Cash,0.73,0.02,SESSION523925,263.77,0.14
CUST1011,PROD1762,TXN651392,53.0,Female,Middle Income,Surabaya,0.19,0.45,2022-08-13 07:11:22,2648141.97,Credit Card,0.58,0.29,SESSION762872,80.59,0.34
CUST1012,PROD4519,TXN915383,39.0,Other,Low Income,Jakarta,0.48,0.35,2021-05-11 08:01:05,2373438.5,Cash,0.57,0.48,SESSION665503,41.09,0.67
CUST1013,PROD2849,TXN672847,34.0,Female,Low Income,Medan,0.19,0.42,2021-08-04 17:09:42,813288.58,Credit Card,0.45,0.19,SESSION131279,70.65,0.99
CUST1014,PROD1701,TXN723611,26.0,Other,Low Income,Bandung,0.87,0.28,2023-03-11 22:55:32,667662.35,E-Wallet,0.41,0.48,SESSION837825,228.03,0.61
CUST1014,PROD3679,TXN507032,26.0,Other,Low Income,Bandung,0.76,0.64,2021-01-04 08:59:17,330248.51,Cash,0.73,0.16,SESSION194061,265.02,0.54
CUST1015,PROD2313,TXN535722,25.0,Female,Middle Income,Surabaya,0.81,0.84,2022-02-04 03:38:54,1608105.17,E-Wallet,0.85,0.0,SESSION585092,84.45,0.47
