Product_ID,Category,Size,Color,Price,Rating,Launch_Date,Trending_Score,Weather,Event_Type
PROD4549,Dress,M,Red,864688.9,4.6,2023-11-12,0.96,Sunny,Wedding
PROD2104,Jacket,XXL,Blue,2906895.62,3.12,2021-08-26,0.7,Sunny,Sports Event
PROD4100,Jacket,L,White,2936807.33,3.75,2020-01-10,0.88,Cloudy,Casual Hangout
PROD1225,Skirt,XXL,Red,2260975.07,3.1,2024-02-05,0.48,Snowy,Sports Event
PROD1064,Skirt,XL,White,1429609.46,4.29,2020-11-21,0.93,Cloudy,Casual Hangout
PROD4057,Dress,S,Blue,956333.89,4.16,2023-03-25,0.55,Cloudy,Business Meeting
PROD2939,Jacket,XL,Green,1822520.91,3.59,2022-04-08,0.95,Sunny,Business Meeting
PROD3183,Skirt,M,Green,1989740.1,3.16,2022-01-09,0.43,Cloudy,Business Meeting
PROD3604,Coat,M,Yellow,984071.57,4.78,2024-05-02,0.16,Snowy,Casual Hangout
PROD3515,Dress,S,Black,1493676.87,4.9,2023-10-28,0.71,Sunny,Sports Event
PROD3659,Dress,XXL,Yellow,2849871.02,3.1,2022-06-26,0.06,Sunny,Business Meeting
PROD5108,Coat,S,Blue,1039129.7,4.86,2020-02-21,0.95,Sunny,Wedding
PROD3337,Suit,S,White,2761057.79,4.38,2023-07-06,0.42,Sunny,Sports Event
PROD4725,Dress,XL,Yellow,2603467.72,3.3,2024-11-07,0.81,Snowy,Casual Hangout
PROD3865,Jacket,XL,Yellow,1783874.95,4.12,2021-01-26,0.76,Sunny,Sports Event
PROD3117,Suit,S,White,2712350.93,4.29,2024-03-06,0.48,Cloudy,Sports Event
PROD5070,Suit,XXL,Black,1881902.86,3.63,2024-08-06,0.39,Rainy,Sports Event
PROD5212,Dress,XL,Blue,2527469.5,3.29,2020-06-15,0.17,Snowy,Wedding
PROD1398,Jacket,XL,Blue,226929.77,3.52,2022-06-25,0.68,Sunny,Casual Hangout
PROD5427,Shirt,XL,Red,2040310.07,4.62,2023-04-08,0.46,Snowy,Vacation
PROD5636,Skirt,XL,White,2815791.54,4.18,2023-05-14,0.94,Sunny,Casual Hangout
PROD2308,Jacket,M,Red,2954752.45,3.44,2021-04-25,0.03,Snowy,Sports Event
PROD5384,Dress,M,Red,448525.21,4.53,2024-03-28,0.23,Cloudy,Vacation
PROD5861,Suit,M,Blue,1054780.22,4.26,2022-03-18,0.36,Cloudy,Vacation
PROD2146,Suit,L,White,1858509.08,4.82,2022-09-27,0.62,Sunny,Wedding
PROD2195,Coat,M,Yellow,2407788.36,3.02,2022-12-30,0.17,Snowy,Wedding
PROD5165,Dress,XXL,Yellow,718513.18,4.41,2020-12-23,0.16,Sunny,Wedding
PROD2242,Dress,S,Black,2570405.38,4.28,2020-05-01,0.65,Sunny,Casual Hangout
PROD3185,Coat,L,Yellow,1157732.1,4.51,2020-03-13,0.69,Sunny,Sports Event
PROD1576,Coat,XL,Blue,174534.38,4.55,2023-04-20,0.8,Snowy,Casual Hangout
PROD4741,Shirt,S,White,2423690.84,3.56,2021-03-04,0.27,Sunny,Business Meeting
PROD1912,Coat,L,Blue,2010870.01,4.78,2024-06-08,0.87,Sunny,Casual Hangout
PROD5632,Dress,M,Red,205663.47,3.86,2024-07-13,0.03,Snowy,Business Meeting
PROD5574,Suit,XL,Black,2992000.88,4.09,2022-10-25,0.91,Cloudy,Wedding
PROD4379,Skirt,XXL,Black,2001964.96,4.07,2023-03-02,0.97,Rainy,Wedding
PROD2541,Skirt,XL,Blue,151248.44,4.42,2021-04-20,0.26,Rainy,Casual Hangout
PROD1214,Coat,M,Green,1807678.75,4.94,2023-07-03,0.01,Cloudy,Business Meeting
PROD3120,Coat,XL,Green,2741417.37,4.7,2021-11-28,0.76,Rainy,Business Meeting
