Product_ID,Category,Size,Color,Price,Rating,Launch_Date,Trending_Score,Weather,Event_Type,Url_Image,Type
PROD4549,Dress,M,Red,864688.9,4.6,2023-11-12,0.96,Sunny,Wedding,image/PROD4549.jpg,upper_body
PROD2104,Jacket,XXL,Blue,2906895.62,3.12,2021-08-26,0.7,Sunny,Sports Event,image/PROD2104.jpg,upper_body
PROD4100,Jacket,L,White,2936807.33,3.75,2020-01-10,0.88,Cloudy,Casual Hangout,image/PROD4100.jpg,upper_body
PROD1225,Skirt,XXL,Red,2260975.07,3.1,2024-02-05,0.48,Snowy,Sports Event,image/PROD1225.jpg,lower_body
PROD1064,Skirt,XL,White,1429609.46,4.29,2020-11-21,0.93,Cloudy,Casual Hangout,image/PROD1064.jpg,lower_body
PROD4057,Dress,S,Blue,956333.89,4.16,2023-03-25,0.55,Cloudy,Business Meeting,image/PROD4057.jpg,upper_body
PROD2939,Jacket,XL,Green,1822520.91,3.59,2022-04-08,0.95,Sunny,Business Meeting,image/PROD2939.jpg,upper_body
PROD3183,Skirt,M,Green,1989740.1,3.16,2022-01-09,0.43,Cloudy,Business Meeting,image/PROD3183.jpg,lower_body
PROD3604,Coat,M,Yellow,984071.57,4.78,2024-05-02,0.16,Snowy,Casual Hangout,image/PROD3604.jpg,upper_body
PROD3515,Dress,S,Black,1493676.87,4.9,2023-10-28,0.71,Sunny,Sports Event,image/PROD3515.jpg,upper_body
PROD3659,Dress,XXL,Yellow,2849871.02,3.1,2022-06-26,0.06,Sunny,Business Meeting,image/PROD3659.jpg,upper_body
PROD5108,Coat,S,Blue,1039129.7,4.86,2020-02-21,0.95,Sunny,Wedding,image/PROD5108.jpg,upper_body
PROD3337,Suit,S,White,2761057.79,4.38,2023-07-06,0.42,Sunny,Sports Event,image/PROD3337.jpg,upper_body
PROD4725,Dress,XL,Yellow,2603467.72,3.3,2024-11-07,0.81,Snowy,Casual Hangout,image/PROD4725.jpg,upper_body
PROD3865,Jacket,XL,Yellow,1783874.95,4.12,2021-01-26,0.76,Sunny,Sports Event,image/PROD3865.jpg,upper_body
PROD3117,Suit,S,White,2712350.93,4.29,2024-03-06,0.48,Cloudy,Sports Event,image/PROD3117.jpg,upper_body
PROD5070,Suit,XXL,Black,1881902.86,3.63,2024-08-06,0.39,Rainy,Sports Event,image/PROD5070.jpg,upper_body
PROD5212,Dress,XL,Blue,2527469.5,3.29,2020-06-15,0.17,Snowy,Wedding,image/PROD5212.jpg,upper_body
PROD1398,Jacket,XL,Blue,226929.77,3.52,2022-06-25,0.68,Sunny,Casual Hangout,image/PROD1398.jpg,upper_body
PROD5427,Shirt,XL,Red,2040310.07,4.62,2023-04-08,0.46,Snowy,Vacation,image/PROD5427.jpg,upper_body
PROD5636,Skirt,XL,White,2815791.54,4.18,2023-05-14,0.94,Sunny,Casual Hangout,image/PROD5636.jpg,lower_body
PROD2308,Jacket,M,Red,2954752.45,3.44,2021-04-25,0.03,Snowy,Sports Event,image/PROD2308.jpg,upper_body
PROD5384,Dress,M,Red,448525.21,4.53,2024-03-28,0.23,Cloudy,Vacation,image/PROD5384.jpg,upper_body
PROD5861,Suit,M,Blue,1054780.22,4.26,2022-03-18,0.36,Cloudy,Vacation,image/PROD5861.jpg,upper_body
PROD2146,Suit,L,White,1858509.08,4.82,2022-09-27,0.62,Sunny,Wedding,image/PROD2146.jpg,upper_body
PROD2195,Coat,M,Yellow,2407788.36,3.02,2022-12-30,0.17,Snowy,Wedding,image/PROD2195.jpg,upper_body
PROD5165,Dress,XXL,Yellow,718513.18,4.41,2020-12-23,0.16,Sunny,Wedding,image/PROD5165.jpg,upper_body
PROD2242,Dress,S,Black,2570405.38,4.28,2020-05-01,0.65,Sunny,Casual Hangout,image/PROD2242.jpg,upper_body
PROD3185,Coat,L,Yellow,1157732.1,4.51,2020-03-13,0.69,Sunny,Sports Event,image/PROD3185.jpg,upper_body
PROD1576,Coat,XL,Blue,174534.38,4.55,2023-04-20,0.8,Snowy,Casual Hangout,image/PROD1576.jpg,upper_body
PROD4741,Shirt,S,White,2423690.84,3.56,2021-03-04,0.27,Sunny,Business Meeting,image/PROD4741.jpg,upper_body
PROD1912,Coat,L,Blue,2010870.01,4.78,2024-06-08,0.87,Sunny,Casual Hangout,image/PROD1912.jpg,upper_body
PROD5632,Dress,M,Red,205663.47,3.86,2024-07-13,0.03,Snowy,Business Meeting,image/PROD5632.jpg,upper_body
PROD5574,Suit,XL,Black,2992000.88,4.09,2022-10-25,0.91,Cloudy,Wedding,image/PROD5574.jpg,upper_body
PROD4379,Skirt,XXL,Black,2001964.96,4.07,2023-03-02,0.97,Rainy,Wedding,image/PROD4379.jpg,lower_body
PROD2541,Skirt,XL,Blue,151248.44,4.42,2021-04-20,0.26,Rainy,Casual Hangout,image/PROD2541.jpg,lower_body
PROD1214,Coat,M,Green,1807678.75,4.94,2023-07-03,0.01,Cloudy,Business Meeting,image/PROD1214.jpg,upper_body
PROD3120,Coat,XL,Green,2741417.37,4.7,2021-11-28,0.76,Rainy,Business Meeting,image/PROD3120.jpg,upper_body
PROD5115,Skirt,M,Yellow,2730695.14,4.12,2024-05-31,0.97,Snowy,Business Meeting,image/PROD5115.jpg,lower_body
PROD5828,Suit,M,Blue,1874358.63,3.25,2021-02-18,0.77,Sunny,Casual Hangout,image/PROD5828.jpg,upper_body
PROD2897,Suit,M,Yellow,129858.47,3.93,2023-03-05,0.46,Rainy,Vacation,image/PROD2897.jpg,upper_body
PROD1655,Dress,M,Red,504638.77,4.03,2023-04-26,0.02,Snowy,Casual Hangout,image/PROD1655.jpg,upper_body
PROD3714,Shirt,S,Blue,973586.84,4.97,2023-02-27,0.53,Sunny,Wedding,image/PROD3714.jpg,upper_body
PROD5691,Jacket,M,Blue,1118636.97,3.1,2021-08-19,0.38,Snowy,Business Meeting,image/PROD5691.jpg,upper_body
PROD5772,Suit,XXL,Green,2876042.49,3.15,2023-04-20,0.14,Snowy,Wedding,image/PROD5772.jpg,upper_body
PROD2262,Suit,M,Green,599117.83,3.72,2024-03-29,0.11,Sunny,Wedding,image/PROD2262.jpg,upper_body
PROD5560,Jacket,S,Green,1657713.73,4.64,2023-04-28,0.45,Cloudy,Wedding,image/PROD5560.jpg,upper_body
PROD5755,Dress,L,Blue,369015.13,3.58,2020-01-21,0.32,Cloudy,Casual Hangout,image/PROD5755.jpg,upper_body
PROD3118,Coat,M,Yellow,698224.08,4.54,2024-03-05,0.26,Rainy,Wedding,image/PROD3118.jpg,upper_body
PROD2523,Dress,XXL,Black,2231028.87,4.5,2024-03-25,0.2,Rainy,Wedding,image/PROD2523.jpg,upper_body
PROD4104,Coat,XXL,Yellow,511401.49,3.62,2022-08-17,0.84,Sunny,Vacation,image/PROD4104.jpg,upper_body
PROD3568,Dress,L,Yellow,2926449.71,4.66,2022-09-01,0.23,Rainy,Casual Hangout,image/PROD3568.jpg,upper_body
PROD1329,Shirt,XL,Blue,2015037.07,3.45,2022-04-20,0.16,Rainy,Wedding,image/PROD1329.jpg,upper_body
PROD5573,Suit,L,White,2752695.71,3.23,2020-01-16,0.21,Snowy,Casual Hangout,image/PROD5573.jpg,upper_body
PROD2936,Dress,XXL,Red,2819636.58,4.88,2020-04-23,0.59,Snowy,Sports Event,image/PROD2936.jpg,upper_body
PROD1502,Shirt,S,Green,2178152.14,3.11,2021-02-14,0.89,Snowy,Casual Hangout,image/PROD1502.jpg,upper_body
PROD1682,Suit,L,Blue,163005.93,3.14,2021-06-28,0.02,Sunny,Wedding,image/PROD1682.jpg,upper_body
PROD3347,Shirt,XXL,Black,957115.52,3.9,2024-02-24,0.4,Snowy,Sports Event,image/PROD3347.jpg,upper_body
PROD3669,Jacket,XXL,Blue,1008045.05,4.49,2021-08-15,0.9,Cloudy,Vacation,image/PROD3669.jpg,upper_body
PROD3147,Skirt,L,Red,899297.84,3.48,2022-03-14,0.12,Cloudy,Business Meeting,image/PROD3147.jpg,lower_body
PROD1568,Skirt,XXL,Yellow,2178475.85,4.77,2023-09-04,0.92,Sunny,Wedding,image/PROD1568.jpg,lower_body
PROD4020,Shirt,M,White,447842.1,3.08,2022-01-15,0.55,Snowy,Business Meeting,image/PROD4020.jpg,upper_body
PROD1511,Coat,XXL,White,352314.59,3.01,2022-03-05,0.44,Snowy,Casual Hangout,image/PROD1511.jpg,upper_body
PROD2562,Skirt,L,Blue,1378679.65,3.37,2024-05-31,0.69,Rainy,Wedding,image/PROD2562.jpg,lower_body
PROD4273,Jacket,XL,White,1209683.54,3.25,2021-11-26,0.05,Rainy,Vacation,image/PROD4273.jpg,upper_body
PROD3154,Suit,S,Red,438700.1,3.76,2022-10-07,0.27,Rainy,Casual Hangout,image/PROD3154.jpg,upper_body
PROD1684,Jacket,S,Black,1056280.97,4.34,2022-07-09,0.79,Cloudy,Sports Event,image/PROD1684.jpg,upper_body
