Product_ID,Category,Size,Color,Price,Rating,Launch_Date,Trending_Score,Weather,Event_Type,Url_Image
PROD4549,Dress,M,Red,864688.9,4.6,2023-11-12,0.96,Sunny,Wedding,image/PROD4549.jpg
PROD2104,Jacket,XXL,Blue,2906895.62,3.12,2021-08-26,0.7,Sunny,Sports Event,image/PROD2104.jpg
PROD4100,Jacket,L,White,2936807.33,3.75,2020-01-10,0.88,Cloudy,Casual Hangout,image/PROD4100.jpg
PROD1225,Skirt,XXL,Red,2260975.07,3.1,2024-02-05,0.48,Snowy,Sports Event,image/PROD1225.jpg
PROD1064,Skirt,XL,White,1429609.46,4.29,2020-11-21,0.93,Cloudy,Casual Hangout,image/PROD1064.jpg
PROD4057,Dress,S,Blue,956333.89,4.16,2023-03-25,0.55,Cloudy,Business Meeting,image/PROD4057.jpg
PROD2939,Jacket,XL,Green,1822520.91,3.59,2022-04-08,0.95,Sunny,Business Meeting,image/PROD2939.jpg
PROD3183,Skirt,M,Green,1989740.1,3.16,2022-01-09,0.43,Cloudy,Business Meeting,image/PROD3183.jpg
PROD3604,Coat,M,Yellow,984071.57,4.78,2024-05-02,0.16,Snowy,Casual Hangout,image/PROD3604.jpg
PROD3515,Dress,S,Black,1493676.87,4.9,2023-10-28,0.71,Sunny,Sports Event,image/PROD3515.jpg
PROD3659,Dress,XXL,Yellow,2849871.02,3.1,2022-06-26,0.06,Sunny,Business Meeting,image/PROD3659.jpg
PROD5108,Coat,S,Blue,1039129.7,4.86,2020-02-21,0.95,Sunny,Wedding,image/PROD5108.jpg
PROD3337,Suit,S,White,2761057.79,4.38,2023-07-06,0.42,Sunny,Sports Event,image/PROD3337.jpg
PROD4725,Dress,XL,Yellow,2603467.72,3.3,2024-11-07,0.81,Snowy,Casual Hangout,image/PROD4725.jpg
PROD3865,Jacket,XL,Yellow,1783874.95,4.12,2021-01-26,0.76,Sunny,Sports Event,image/PROD3865.jpg
PROD3117,Suit,S,White,2712350.93,4.29,2024-03-06,0.48,Cloudy,Sports Event,image/PROD3117.jpg
PROD5070,Suit,XXL,Black,1881902.86,3.63,2024-08-06,0.39,Rainy,Sports Event,image/PROD5070.jpg
PROD5212,Dress,XL,Blue,2527469.5,3.29,2020-06-15,0.17,Snowy,Wedding,image/PROD5212.jpg
PROD1398,Jacket,XL,Blue,226929.77,3.52,2022-06-25,0.68,Sunny,Casual Hangout,image/PROD1398.jpg
PROD5427,Shirt,XL,Red,2040310.07,4.62,2023-04-08,0.46,Snowy,Vacation,image/PROD5427.jpg
PROD5636,Skirt,XL,White,2815791.54,4.18,2023-05-14,0.94,Sunny,Casual Hangout,image/PROD5636.jpg
PROD2308,Jacket,M,Red,2954752.45,3.44,2021-04-25,0.03,Snowy,Sports Event,image/PROD2308.jpg
PROD5384,Dress,M,Red,448525.21,4.53,2024-03-28,0.23,Cloudy,Vacation,image/PROD5384.jpg
