Product_ID,Category,Size,Color,Price,Rating,Launch_Date,Trending_Score,Weather,Event_Type,Url_Image
PROD2488,Coat,XL,Red,670167.9,4.92,2020-08-27,0.23,Cloudy,Sports Event,Final Product 1602-3201/PROD2488.jpg
PROD2445,Dress,M,Black,2540654.63,3.03,2021-12-01,0.73,Rainy,Wedding,Final Product 1602-3201/PROD2445.jpg
PROD1212,Coat,XXL,Green,1770812.27,3.77,2024-01-18,0.29,Snowy,Sports Event,Final Product 1602-3201/PROD1212.jpg
PROD3805,Jacket,L,Red,1551166.83,4.71,2023-11-11,0.42,Cloudy,Business Meeting,Final Product 1602-3201/PROD3805.jpg
PROD3212,Suit,S,White,1831197.93,3.52,2022-09-07,0.37,Sunny,Business Meeting,Final Product 1602-3201/PROD3212.jpg
PROD4839,Shirt,M,Blue,2362824.03,4.5,2023-06-01,0.18,Rainy,Sports Event,Final Product 1602-3201/PROD4839.jpg
PROD5782,Skirt,XXL,Red,1457382.93,4.02,2020-12-09,0.05,Sunny,Wedding,Final Product 1602-3201/PROD5782.jpg
PROD2429,Shirt,L,White,196139.06,4.71,2020-02-08,0.94,Snowy,Sports Event,Final Product 1602-3201/PROD2429.jpg
PROD5597,Suit,L,Red,1745780.7,4.29,2021-10-30,0.37,Cloudy,Sports Event,Final Product 1602-3201/PROD5597.jpg
PROD3116,Suit,XXL,Blue,2985531.65,4.07,2023-07-23,0.03,Rainy,Sports Event,Final Product 1602-3201/PROD3116.jpg
PROD5605,Jacket,XL,White,292737.95,4.82,2024-05-13,0.34,Snowy,Casual Hangout,Final Product 1602-3201/PROD5605.jpg
PROD3289,Dress,M,White,162370.48,3.98,2024-01-24,0.02,Rainy,Wedding,Final Product 1602-3201/PROD3289.jpg
PROD5826,Suit,XL,Red,1483472.53,3.53,2023-12-05,0.29,Cloudy,Sports Event,Final Product 1602-3201/PROD5826.jpg
PROD4877,Jacket,L,Blue,1886236.63,3.93,2024-11-14,0.85,Sunny,Business Meeting,Final Product 1602-3201/PROD4877.jpg
PROD3511,Skirt,XXL,White,2031129.41,4.38,2023-07-29,0.57,Rainy,Sports Event,Final Product 1602-3201/PROD3511.jpg
PROD4014,Suit,XL,White,1244765.9,3.35,2021-02-09,0.28,Cloudy,Casual Hangout,Final Product 1602-3201/PROD4014.jpg
PROD3377,Dress,S,Red,1766512.05,4.0,2022-12-20,0.31,Sunny,Wedding,Final Product 1602-3201/PROD3377.jpg
PROD1161,Coat,XXL,Black,1366469.33,3.99,2023-07-17,0.44,Cloudy,Sports Event,Final Product 1602-3201/PROD1161.jpg
PROD5642,Jacket,XL,Blue,2272742.4,3.37,2020-02-19,0.44,Snowy,Sports Event,Final Product 1602-3201/PROD5642.jpg
PROD2293,Dress,M,Red,440514.5,3.35,2021-12-31,0.4,Snowy,Vacation,Final Product 1602-3201/PROD2293.jpg
PROD5543,Coat,M,White,389636.16,4.71,2024-03-19,0.79,Cloudy,Vacation,Final Product 1602-3201/PROD5543.jpg
PROD3763,Coat,XXL,Blue,2500274.45,3.48,2022-08-15,0.99,Snowy,Sports Event,Final Product 1602-3201/PROD3763.jpg
PROD5447,Skirt,XXL,Red,689968.61,4.07,2022-10-02,0.15,Rainy,Business Meeting,Final Product 1602-3201/PROD5447.jpg
PROD1787,Jacket,XL,Red,2950925.94,3.27,2023-10-12,0.94,Rainy,Casual Hangout,Final Product 1602-3201/PROD1787.jpg
PROD2280,Coat,XXL,Black,2952693.41,3.33,2024-07-22,0.51,Sunny,Vacation,Final Product 1602-3201/PROD2280.jpg
PROD3064,Skirt,XL,Yellow,1559005.97,4.56,2022-11-16,0.33,Snowy,Casual Hangout,Final Product 1602-3201/PROD3064.jpg
PROD5410,Dress,S,Yellow,1660664.54,4.23,2020-02-02,0.17,Rainy,Casual Hangout,Final Product 1602-3201/PROD5410.jpg
PROD1176,Skirt,L,Blue,513802.23,3.39,2022-02-14,0.78,Snowy,Vacation,Final Product 1602-3201/PROD1176.jpg
PROD3880,Skirt,S,Yellow,1906457.3,4.27,2020-09-20,0.42,Snowy,Wedding,Final Product 1602-3201/PROD3880.jpg
PROD1980,Dress,XL,Green,851076.99,3.05,2020-01-24,0.05,Snowy,Sports Event,Final Product 1602-3201/PROD1980.jpg
PROD2193,Jacket,XXL,Yellow,1527649.02,3.02,2022-09-29,0.4,Rainy,Wedding,Final Product 1602-3201/PROD2193.jpg
PROD4245,Suit,S,Blue,1559758.15,4.36,2023-03-05,0.62,Snowy,Sports Event,Final Product 1602-3201/PROD4245.jpg
PROD2332,Shirt,XL,White,2501332.93,3.74,2021-04-17,0.6,Cloudy,Wedding,Final Product 1602-3201/PROD2332.jpg
PROD1606,Coat,M,Blue,2960716.18,3.85,2023-09-20,0.66,Cloudy,Casual Hangout,Final Product 1602-3201/PROD1606.jpg
PROD4262,Shirt,XXL,Yellow,785155.3,3.14,2023-10-30,0.93,Rainy,Sports Event,Final Product 1602-3201/PROD4262.jpg
PROD4318,Dress,XL,Black,1588727.4,3.36,2023-09-16,0.88,Cloudy,Casual Hangout,Final Product 1602-3201/PROD4318.jpg
PROD1747,Dress,XL,White,1747427.91,4.17,2024-06-29,0.31,Sunny,Sports Event,Final Product 1602-3201/PROD1747.jpg
PROD3457,Suit,M,Green,2632282.78,4.72,2022-08-03,0.05,Sunny,Business Meeting,Final Product 1602-3201/PROD3457.jpg
PROD4943,Suit,XL,Black,305143.73,3.72,2022-03-16,0.71,Rainy,Casual Hangout,Final Product 1602-3201/PROD4943.jpg
PROD2841,Shirt,L,Red,1084594.74,4.0,2022-02-22,0.89,Rainy,Sports Event,Final Product 1602-3201/PROD2841.jpg
PROD1413,Suit,XL,Blue,889599.66,4.53,2024-07-02,0.41,Cloudy,Casual Hangout,Final Product 1602-3201/PROD1413.jpg
PROD1632,Shirt,M,Green,367901.46,3.79,2021-11-11,0.76,Snowy,Sports Event,Final Product 1602-3201/PROD1632.jpg
PROD5322,Shirt,XL,Red,2466850.6,4.68,2020-06-28,0.89,Rainy,Business Meeting,Final Product 1602-3201/PROD5322.jpg
PROD1957,Suit,XXL,Red,2009683.48,4.36,2020-08-08,0.07,Snowy,Sports Event,Final Product 1602-3201/PROD1957.jpg
PROD5981,Shirt,L,Black,209959.02,3.21,2020-08-17,0.98,Rainy,Casual Hangout,Final Product 1602-3201/PROD5981.jpg
PROD3070,Shirt,L,Black,106388.31,3.55,2022-10-06,0.5,Snowy,Wedding,Final Product 1602-3201/PROD3070.jpg
PROD5569,Dress,M,Yellow,478963.44,4.57,2021-07-18,0.62,Sunny,Business Meeting,Final Product 1602-3201/PROD5569.jpg
PROD1525,Dress,L,White,1649422.56,4.14,2021-12-27,0.72,Snowy,Business Meeting,Final Product 1602-3201/PROD1525.jpg
PROD3172,Coat,S,Blue,1090799.09,3.73,2024-03-15,0.7,Sunny,Vacation,Final Product 1602-3201/PROD3172.jpg
PROD4611,Shirt,L,Blue,2105667.75,3.43,2020-05-05,0.89,Snowy,Sports Event,Final Product 1602-3201/PROD4611.jpg
PROD1493,Dress,XL,Green,489677.99,3.28,2022-11-26,0.37,Cloudy,Wedding,Final Product 1602-3201/PROD1493.jpg
PROD4428,Skirt,M,Green,213812.25,4.15,2023-09-21,0.62,Cloudy,Wedding,Final Product 1602-3201/PROD4428.jpg
PROD1811,Dress,S,Red,170932.62,3.11,2023-06-20,0.19,Sunny,Sports Event,Final Product 1602-3201/PROD1811.jpg
PROD5614,Shirt,S,White,1705780.45,4.83,2020-10-03,0.85,Cloudy,Vacation,Final Product 1602-3201/PROD5614.jpg
PROD5687,Suit,XXL,Yellow,1174919.28,3.76,2023-02-25,0.78,Sunny,Casual Hangout,Final Product 1602-3201/PROD5687.jpg
PROD5746,Suit,XXL,Blue,1685040.46,4.53,2023-02-26,0.59,Cloudy,Casual Hangout,Final Product 1602-3201/PROD5746.jpg
PROD2884,Shirt,XL,Red,720830.2,4.12,2020-10-24,0.78,Rainy,Casual Hangout,Final Product 1602-3201/PROD2884.jpg
PROD5341,Dress,L,White,2374040.88,3.52,2023-07-28,0.33,Rainy,Sports Event,Final Product 1602-3201/PROD5341.jpg
PROD5594,Shirt,M,Red,1571159.8,4.95,2022-03-05,0.61,Cloudy,Sports Event,Final Product 1602-3201/PROD5594.jpg
PROD5979,Jacket,XL,Blue,2098195.78,3.89,2024-07-27,0.88,Rainy,Sports Event,Final Product 1602-3201/PROD5979.jpg
PROD1506,Shirt,S,Green,2115498.09,3.04,2022-09-08,0.6,Rainy,Wedding,Final Product 1602-3201/PROD1506.jpg
PROD2830,Skirt,M,Green,2874076.47,3.43,2020-10-15,0.45,Cloudy,Business Meeting,Final Product 1602-3201/PROD2830.jpg
PROD5875,Shirt,L,Blue,353236.51,3.91,2021-12-09,0.81,Snowy,Sports Event,Final Product 1602-3201/PROD5875.jpg
PROD4103,Suit,L,Blue,1050688.66,4.45,2024-03-07,0.39,Sunny,Casual Hangout,Final Product 1602-3201/PROD4103.jpg
PROD5540,Suit,S,Red,1686227.86,4.25,2022-07-11,0.47,Snowy,Sports Event,Final Product 1602-3201/PROD5540.jpg
PROD1952,Dress,XL,Black,1119418.32,4.43,2021-09-30,0.29,Snowy,Sports Event,Final Product 1602-3201/PROD1952.jpg
PROD1448,Dress,M,White,956643.04,4.27,2020-05-04,0.75,Sunny,Vacation,Final Product 1602-3201/PROD1448.jpg
PROD5056,Jacket,S,White,2492973.01,3.25,2020-03-31,0.01,Sunny,Wedding,Final Product 1602-3201/PROD5056.jpg
PROD3050,Shirt,XXL,Blue,1694815.38,3.68,2023-02-27,0.57,Rainy,Wedding,Final Product 1602-3201/PROD3050.jpg
